整租·风华南苑 1室1厅 南/北,https://image1.ljcdn.com/320300-inspection/5401b1d4-4c2b-4178-98d8-36c52a54ac15.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,新上,1天前发布,500 元/月
独栋·贝客公寓 创智科技园店 C户型 1室1厅,https://image1.ljcdn.com/rent-house-1/575a9d484b522a89099abeb84a0b5364-1565691523606/3e721d39cb0937f3b040975bab5ddcb7.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,Not available,28天前发布,1950-2000 元/月
整租·文苑小区 1室0厅 南,https://image1.ljcdn.com/320300-inspection/a1dd9373-c153-4add-b14d-3197d0c4170f.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,新上,1天前发布,450 元/月
独栋·泊寓 新里程社区 A户型 开间,https://image1.ljcdn.com/rent-user-avatar/4d5e0bd9-3731-4911-8871-0da597e6e892.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,Not available,8个月前发布,1500-1630 元/月
整租·民强园小区 2室1厅 南,https://image1.ljcdn.com/320300-inspection/4096ed62-349d-4238-8617-ffb46e6305e0.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,新上,3天前发布,1100 元/月
独栋·贝客公寓 创智科技园店 B户型 1室1厅,https://image1.ljcdn.com/rent-house-1/575a9d484b522a89099abeb84a0b5364-1565691523264/4ed57e7f18934b7155c1d295d2c787c3.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,Not available,28天前发布,1700 元/月
整租·余窑新村 1室1厅 南,https://image1.ljcdn.com/320300-inspection/4a049b5e-70f0-4ff9-8df6-c79c186df6c6.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,新上,1天前发布,700 元/月
整租·段庄新村 2室1厅 南,https://image1.ljcdn.com/320300-inspection/f213023b-2a4b-4aa8-8c3a-cf4488f1a4ce.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,新上,2天前发布,1000 元/月
整租·荣盛香榭兰庭 3室2厅 南/北,https://image1.ljcdn.com/320300-inspection/acf8c6fa-9eaf-4465-a228-336b1689d16a.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,新上,3天前发布,800 元/月
合租·荣盛香榭兰庭 1居室 南卧,https://image1.ljcdn.com/320300-inspection/261d0e00-cd0f-4bc1-9bc4-74f0c5b2e9ea.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,新上,2天前发布,1000 元/月
整租·苏堤北村 3室1厅 南,https://image1.ljcdn.com/320300-inspection/4ba8d1cb-ce68-4d27-a4f3-7efb0a9e521c.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,新上,3天前发布,1000 元/月
独栋·贝客公寓 创智科技园店 A户型 1室1厅,https://image1.ljcdn.com/rent-house-1/575a9d484b522a89099abeb84a0b5364-1565689143233/bd13364dee54b53bba7eca161be0b27f.jpg.250x182.jpg,泉山区-翟山-风华南苑,30㎡,南北,1室1厅1卫,高楼层（6层）,Not available,28天前发布,1800-1850 元/月
